id,author,year,title,tech,institution,booktile,editor,booktitle,publisher,Pages,address,month,note,journal,volume,pages,type,date,
1,"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O.",,Inganas and M.R.,,,,,,,,,,,"Andersson, J Appl. Phys.,","76,","893,",,(1994).,
2,"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,",,,,,,,,,,,,,"J Appl. Phys.,","76,","893,",,(1994).,
3,"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,",,,,,,,,,,,,,"J Appl. Phys.,","76,","893,",,(1994).,
4,"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,",,,,,,,,,,,,,"J Appl. Phys.,","76,","893,",,(1994).,
5,"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,",,,,,,,,,,,,,"J Appl. Phys.,","76,","893,",,(1994).,
6,"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,",,,,,,,,,,,,,"J Appl. Phys.,","76,","893,",,(1994).,
7,"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,",,,,,,,,,,,,,"J Appl. Phys.,","76,","893,",,(1994).,
8,"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,",,,,,,,,,,,,,"Journal of Applied Physics,","76,","893,",,(1994).,
9,C. Ray Asfahl.,,Robots and Manufacturing Automation.,,,,,,"John Wiley and Sons,",,"New York,",,"second edition,",,,,,1992.,
10,Steve Benford and Lennart E. Fahlen.,,A spatial model of interaction in large virtual environments.,,,,,"In Proceedings of ECSCW'93,",,,"Milan,",,,,,,,September,
11,"Benford, S., and Fahln, L.",,"Viewpoints, Actionpoints and Spatial Frames for Collaborative User Interfaces,",,,,,"6th ERCIM workshop,",,,Stockholm.,,,,,,,"(1994),",
12,"Benford, S., Bowers, J., Fahln, L., Greenhalgh, C., and Snowdon, D.,",,"User Embodiment in Collaborative Virtual Environments,",,,,,"in Proc. ACM Conference on Human Factors in Computing Systems (CHI95),",,,"Denver, Colorado, USA.",,,,,,,"May 7-11, 1995,",
13,"Benford, S., Bowers, J., Fahlen, L.E., Greenhalgh, C., Snowdon, D.",,User Embodiment in Collaborative Virtual Environments.,,,,,"In Proceedings of CHI95,",,,,,,,,242-249.,,(1995).,
14,"Benford, S., Bowers, J., Fahlen, L.E., Greenhalgh, C., Snowdon, D.",,User Embodiment in Collaborative Virtual Environments.,,,,,"In Proceedings of CHI95,",,,,,,,242 249.,,,,
15,"Steve Benford, John Bowers, Lennart Fahlen, Chris Greenhalg, John Mariani, and Tom Rodden.",,Networked Virtual realitty and Cooperative Work.,,,,,,,,,,,"Presence,",4(4),"364-386,",,1995.,
16,"Brown, D. F., Moura, H. & Watt, D. A.",,"Actress: an action semantics directed compiler generator,",,,,"in U. Kas-tens & P. Pfahler, eds,","`Proceedings of the International Workshop on Compiler Construction (CC-92)',","Springer-Verlag,",,"Paderborn, Germany,",,"Vol. 641 of Lecture Notes in Computer Science,",,,pp. 95-109.,,"(1992b),",
17,"Brown, D. F., Moura, H. & Watt, D. A.",,"Actress: an action semantics directed compiler generator,",,,,"in U. Kas-tens & P. Pfahler, eds,","`Proceedings of the International Workshop on Compiler Construction (CC-92)',","Springer-Verlag,",,"Paderborn, Germany,",,"Vol. 641 of Lecture Notes in Computer Science,",,,pp. 95-109.,,"(1992b),",
18,"D. F. Brown, H. Moura, and D. A. Watt. Actress:",,an action semantics directed compiler generator.,,,,"In U. Kastens and P. Pfahler, editors,","Proceedings of the 4th International Conference on Compiler Construction (CC'92),",Springer-Verlag.,,"Paderborn, FRG,",,"volume 641 of Lecture Notes in Computer Science,",,,"pages 95-109,",,October 1992.,
19,"B. Buth, K.-H. Buth, M. Franzle, B. v. Karger, Y. Lakhneche, H. Langmaack, and M. Muller-Olm.",,Provably correct compiler development and implementation.,,,,"In U. Kastens and P. Pfahler, editors,","Compiler Construction,","Springer-Verlag,",,,,volume 641 of Lecture Notes in Computer Science.,,,,,1992.,
