id,author,year,title,tech,institution,booktile,editor,booktitle,publisher,Pages,address,month,note,journal,volume,pages,type,date,Unnamed: 19
1,"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O.",,Inganas and M.R.,,,,,,,,,,,"Andersson, J Appl. Phys.,","76,","893,",,(1994).,
12,"Benford, S., Bowers, J., Fahln, L., Greenhalgh, C., and Snowdon, D.,",,"User Embodiment in Collaborative Virtual Environments,",,,,,"in Proc. ACM Conference on Human Factors in Computing Systems (CHI95),",,,"Denver, Colorado, USA.",,,,,,,"May 7-11, 1995,",
15,"Steve Benford, John Bowers, Lennart Fahlen, Chris Greenhalg, John Mariani, and Tom Rodden.",,Networked Virtual realitty and Cooperative Work.,,,,,,,,,,,"Presence,",4(4),"364-386,",,1995.,
16,"Brown, D. F., Moura, H. & Watt, D. A.",,"Actress: an action semantics directed compiler generator,",,,,"in U. Kas-tens & P. Pfahler, eds,","`Proceedings of the International Workshop on Compiler Construction (CC-92)',","Springer-Verlag,",,"Paderborn, Germany,",,"Vol. 641 of Lecture Notes in Computer Science,",,,pp. 95-109.,,"(1992b),",
19,"B. Buth, K.-H. Buth, M. Franzle, B. v. Karger, Y. Lakhneche, H. Langmaack, and M. Muller-Olm.",,Provably correct compiler development and implementation.,,,,"In U. Kastens and P. Pfahler, editors,","Compiler Construction,","Springer-Verlag,",,,,volume 641 of Lecture Notes in Computer Science.,,,,,1992.,
24,"Carlson, C.; L.E.Fahln.",,Integrated CSCW Tools Within a Shared 3D Virtual Environment.,,,"In Proceedings of InterCHI93 (Amsterdam). ACM,",Ed. Irene Greit:,In Computer Supported Cooperative Work: A Book of Readings.,Morgan Kaufmann.,,NY:,,,,,513,,1993.,
25,"Cramer, N. L.",,A representation for the adaptive generation of simple sequential programs.,,,,"In Grefenstette, J., editor,","Proceedings of an International Conference on Genetic Algorithms and Their Applications,",Lawrence Erlbaum Associates.,,"Hillsdale, NJ.",,,,,"pages 183-187,",,(1985).,
27,,,An investigation of niche and species formation in genetic function op-timization.,,,,"Deb, K. and D. Goldberg (1989).","Proceedings of the Third International Conference on Genetic Algorithms,",Morgan Kaufmann.,,,,,,,pp. 42-50.,,,
30,"Dempster, A., Laird, N., and Rubin, D.",,Maximum likelihood from incomplete data via the EM algorithm.,,,,,,,,,,,"Journal of the Royal Statistical Society B,",39,1-38.,,(1977).,
32,M. Dill and M.,,,,,,,,,,,,Perception & Psychophysics (in press).,,,,,,
34,M. Dill and M.,,,,,,Proceedings of the Royal Society London B (in press).,,,,,,,,,,,,
38,"Fahle, M.",,"(1991) Parallel perception of vernier offsets, curvature, and chevrons in humans.",,,,,,,,,,,"Vis. Res.,",31:,2149-2184.,,,
39,"Fahle, M. W. and Edelman, S.",,Learning in hyperacuity: influence of stimulus range and of feedback.,,,,,,in press.,,,,,Vision Research.,,,,(1992).,
40,M Fahle and S Edelman.,,"Long-term learning in Vernier acuity: effects of stimulus orientation, range and of feedback.",,,,,,,,,,,"Vision Research,",33(3),"397-412,",,1993.,
43,"Fahle, M., Edelman, S., and Poggio, T.",,Fast perceptual learning in hyperacuity.,,,,,,,,,,,"Vision Research,",35,3003-3013.,,(1995).,
47,"Fahle, M.",,"Specificity of learning curvature, orientation, and vernier discriminations.",,,,,,,,,,,"Vision Research,","37(14),",1885-1895. 66,,(1997).,
49,"Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson.",,A space based model for user interaction in shared synthetic environments.,,,,,"In Proceedings of Interchi '93,",,,,,,,,"pages 4348,",,April,
67,"Fahlman, S. E.,",,"NETL: A system for representing and using real world knowledge,",,,,,,Cambridge: MIT Press.,,,,,,,,,1979.,
102,"Fahlman S, Touretzky D and van Roggen W,",,"Cancellation in a Parallel Semantic Network,",,,,,"In Proc IJCAI-81,",,,Menlo Park:,,International Joint Conferences on AI.,,,"257-263,",,,
104,"Fahlman, S. & Hinton, G.",,Connectionist architectures for artificial intelligence.,,,,,,,,,,,"Computer,","20,",100-109.,,(1987).,
121,Scott E. Fahlman.,,Faster learning variations on back-propagation: An empirical study.,"Technical Report CMU-CS-88-162,","Carnegie Mellon University, School of Computer Science,",,,,,,,,120 Bibliography,,,,,September,
192,"Fahlman, S.E. and Lebiere, C.,",,"The Cascade-Correlation Learning Architecture,","(technical report), CMU-CS-90-100,","Carnegie-Mellon University,",,,,,,"Pittsburgh, PA:",,,,,,,1991.,
396,"Fahlman, S. E.",,The recurrent cascade-correlation architecture.,,,,"In Lippmann, R. P., Moody, J. E., and Touretzky, D. S., editors,",Advances in Neural Information Processing Systems,Morgan Kaufmann.,,"San Mateo, CA:",,,,"3,",190-205.,,(1991).,
