id,author,year,title,tech,institution,booktile,editor,booktitle,publisher,Pages,address,month,note,journal,volume,pages,type,date,Unnamed: 19
3,"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,",,,,,,,,,,,,,"J Appl. Phys.,","76,","893,",,(1994).,
6,"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,",,,,,,,,,,,,,"J Appl. Phys.,","76,","893,",,(1994).,
9,C. Ray Asfahl.,,Robots and Manufacturing Automation.,,,,,,"John Wiley and Sons,",,"New York,",,"second edition,",,,,,1992.,
18,"D. F. Brown, H. Moura, and D. A. Watt. Actress:",,an action semantics directed compiler generator.,,,,"In U. Kastens and P. Pfahler, editors,","Proceedings of the 4th International Conference on Compiler Construction (CC'92),",Springer-Verlag.,,"Paderborn, FRG,",,"volume 641 of Lecture Notes in Computer Science,",,,"pages 95-109,",,October 1992.,
22,"B. Buth et. al.,",,"Provably Correct Compiler Implementation,",,,,in U. Karstens and P. Pfahler (eds.),"Compiler Construction,","Springer Verlag, LNCS 641,",,,,,,,pp. 141-155.,,"1992,",
26,"Daelemans, W., Van den Bosch, A., and Weijters, T.",,"IG-tree: A variant of IBL. submitted. Available from request to antal@cs.rulimburg.nl Fahlman,","Technical Report CMU-CS-90-100,","School of Computer Science, Carnegie-Mellon University,",,"S. E. and Lebiere, C.",,,,"Pittsburgh, PA.",,,,,,,(1995).,
28,,,An investigation of niche and species formation in genetic function optimization.,,,,"Proceedings of the Third International Conference on Genetic Algorithms,",Morgan Kaufmann.,,,,,,,pp. 42-50.,,,,
31,"Dempster, A., Laird, N., and Rubin, D.",,Maximum likelihood from incomplete data via the EM algorithm.,,,,,,,,,,,"Journal of the Royal Statistical Society B,",39,1-38.,,(1977).,
42,"Fahle, M. & Edelman, S.",,,,,,,,,,,,"Vision Research,","33,",397-412.,,,,
44,"Fahle, M., Edelman, S., and Poggio, T.",,Fast perceptual learning in hyperacuity.,,,,,,,,,,,"Vision Research,",35,3003-3013.,,(1995).,
48,"Fahle, M.",,,,,,,,,,,,"Vision Research,","37(14),",1885-1895.,,,,
51,"Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson.",,A space based model for user interaction in shared synthetic environments.,,,,,"In Proceedings of Interchi '93,",,,,,,,,"pages 43-48,",,April,
57,Scott Elliott Fahlman.,,A planning system for robot construction tasks.,,,,,,,,,,,"Artificial Intelligence,",5(1),"1-49,",,1974.,
60,S. E. Fahlman.,,A planning system for robot construction tasks.,,,,,,,,,,,"Artificial Intelligence,",5,"1-49,",,1974.,
63,S Fahlman.,,A planning system for robot construction tasks.,,,,,,,,,,,"Artificial Intelligence,",5,"1-49,",,1974.,
66,Scott Elliott Fahlman.,,A planning system for robot construction tasks.,,,,,,,,,,,"Artificial Intelligence,",5(1),"1-49,",,1974.,
68,S. E. Fahlman.,,NETL: A System for Representing and Using Real World Knowledge.,,,,,,"MIT Press,",,"Cambridge MA,",,,,,,,1979.,
71,"Fahlman, S. E.",,NETL: A System for Representing and Using Real World Knowledge.,,,,,,"MIT Press,",,"Cambridge, MA.",,,,,,,(1979).,
74,"Fahlman, S. E.",,NETL: A System for Representing and Using Real-World Knowledge.,,,,,,"The MIT Press,",,"Cambridge, MA.",,,,,,,(1979).,
77,"Fahlman, S. E.,",,"NETL: A System for Representing and Using Real World Knowledge,",,,,,,Cambridge: MIT Press.,,,,,,,,,1979.,
80,"Fahlman, S.E.",,NETL: A System for Representing and Using Real-World Knowledge.,,,,,,"MIT Press,",,"Cambridge, MA.",,,,,,,(1979).,
83,S.E. Fahlman.,,"NETL: A system for representing real-world knowledge,",,,,,,MIT Press.,,,,,,,,,,
86,Scott E. Fahlman.,,NETL: A System for Representing and Using Real-World Knowledge.,,,,,,"MIT Press,",,"Cambridge, MA,",,,,,,,1979.,
89,Scott E. Fahlman.,,NETL: A System for Representing and Using Real-World Knowledge.,,,,,,"MIT Press,",,"Cambridge, MA,",,,,,,,1979.,
103,Scott E. Fahlman.,,Extended abstract:,,,,,"Parallel processing in artificial intelligence. Parallel Computing,",,,,,,,2,"283-286,",,1985.,
106,"Fahlman, S. and Hinton, G.",,Connectionist Architectures for Artificial Intelligence.,,,,,,,,,,,"Computer,",20,100-118.,,(1987).,
108,"Fahlman, S.",,Faster-learning variations on backpropagation: An empirical study.,,,,"In Touretzky, D. , Hinton, G. , and Sejnowski, T. , (eds.),",Proc. of the Connectionist Model Summer School.,"Morgan Kaufmann,",,"San Mateo, CA.",,,,,,,(1988).,
111,"Fahlman, S.E.",,Faster learning variations on backpropagation: An empirical study.,,,,,In Proc. 1988 Connectionist Models Summer School.,Morgan Kauffman,,"San Mateo, CA:",,,,,,,(1988),
114,"Fahlman, S.E.",,Fast-learning variations on back-propagation: an empirical study.,,,,"In D. Touretzky, G. Hinton & T. Sejnowski, eds.","Proceedings of the 1988 Connectionist Models Summer School,","(Morgan Kaufman,",,"Pittsburgh, PA,",,,,,38-51,,1989.,
117,"Fahlman, S.E.",,Fast-learning variations on back-propagation: an empirical study.,,,,"In D. Touretzky, G. Hinton & T. Sejnowski, eds.","Proceedings of the 1988 Connectionist Models Summer School,","(Morgan Kaufman, San Mateo).",,"Pittsburgh, PA,",,,,,38-1,,1989.,
120,S. E. Fahlman.,,Faster-learning variations on back-propagation: An empirical study.,,,,,In Proceedings of the 1988 Connectionists Models Summer School.,"Morgan Kauffman Inc.,",,,,,,,,,1988.,
124,"Fahlman, S.",,E . Faster-learning variations of backpropagation : An empirical study.,,,,"In D. Touretzky, G. E. Hinton, and T. J Sejnowski (Eds),","Proceedings of the 1988 Connectionist Models Summer School,",Morgan Kaufmann,,"San Mateo, CA:",,,,,"38-51,",,1988.,
127,S E Fahlman.,,Faster-learning variations on back-propagation: An empirical study.,,,,"In D Touretzky, G E Hinton, and T J Sejnowski, editors,","Proceedings of the 1988 Connectionist Models Summer School,","Morgan Kaufman,",,,,,,,pages 38-51.,,1988.,
130,"S. Fahlmann,",,"Faster-Learning Variations on BackPropagation: An Empirical Study,",,,,,"Proceedings of the 1988 Connectionist Models Summer School,",,,,,,,,"pp 38-51,",,1988.,
133,"Fahlman, S.",,Faster-Learning Variations on Back-Propagation: An Empirical Study. In:,,,,,"Proc. of the 1988 Connectionist Models Summer School,","Morgan Kaufmann,",,,,,,,,,1988,
142,S. E.,,"Fahlman (1988): Faster-Learning Variations on Back-Propagation: An Empirical Study,",,,,,"in Proceedings of the 1988 Connectionist Summer School,",Morgan Kauf-mann.,,,,,,,,,,
146,"S.E. Fahlman,",,"An empirical study of learning speed in backpropagation networks,","Technical Report CMU-CS-88-162,",,,,,,,,,,,,,,,
149,"Fahlman, S. E.",,An empirical study of learning speed in backpropagation networks.,Technical Report CMU-CS-88-182.,"Department of Computer Science, Carnegie-Mellon University,",,,,,,"Pittsburg, PA.",,,,,,,(1988),
152,"Fahlman, S. E.",,An empirical study of learning speed in backpropagation networks.,"Technical Report CMU-CS-88-162,","Computer Science Department, Carnegie Mellon University,",,,,,,"Pittsburgh, PA.",,,,,,,(1988).,
155,"Fahlman, S. E.",,An empirical study of learning speed in backpropagation networks.,"Technical Report CMU-CS-88-162,","School of Computer Science, Carnegie Mellon University,",,,,,,"Pittsburgh, PA 15213.",,,,,,,(1988).,
158,"Fahlman, S.E.",,"An empirical study of learning speed in back-propagation networks,","CMU-CS-88-162,","School of Computer Science, Carnegie Mellon University.",,,,,,,,,,,,,(1988),
161,"Fahlman, Scott.",,An empirical study of learning speed in back-propagation networks.,"Technical Report CMU-CS-88-162,","Department of Computer Science, Carnegie Mellon University.",,,,,,,,,,,,,1988.,
164,"Fahlman, S.E.",,An Empirical Study of Learning Speed in Back-Propagation Networks.,,,,,In Proceedings of the 1988 Connectionist Models Summer School.,Morgan-Kaufmann.,,,,,,,,,1988.,
167,S. Fahlman.,,An empirical study of learning speed in back-propagation networks.,"Technical report,","Carnegie Mellon University,",,,,,,,,,,,,,1988.,
170,S.E. Fahlman.,,An empirical study of learning speed in back-propagation networks.,"Technical Report CMU-CS-88-162,","Carnegie Mellon University,",,,,,,,,,,,,,1988.,
173,"S. E. Fahlman,",,"An Empirical Study of Learning Speed in Back-Propagation Networks,","Technical Report,","CMU-CS-TR-88-162, Carnegie Mellon University,",,,,,,,,,,,,,1988.,
176,Scott E. Fahlman.,,An empirical study of learning speed in back-propagation networks.,"Technical Report CMU-CS-88-162,","School of Computer Science, Carnegie Mellon University,",,,,,,"Pittsburgh, PA,",,,,,,,September,
179,S.E. Fahlman.,,An empirical study of learning speed in back-propagation networks.,"Tech Report CMU-CS-88-162,",,,,,,,,,,,,,,June,
193,S.E. Fahlman and C. Lebiere:,,"The Cascade-Correlation Learning Architecture,","(technical report), CMU-CS-90-100,","Carnegie-Mellon University,",,,,,,"Pittsburgh, PA:",,,,,,,1991.,
196,"Fahlman, S. E. & Lebiere, C.",,"The Cascade-Correlation learning architecture,","Technical Report CMU-CS-90-100,","School of Computer Science, Carnegie Mellon University,",,,,,,"Pittsburgh, PA 15213.",,,,,,,"(1990),",
199,"Fahlman, S. E. and Lebiere, C.",,The Cascade-Correlation learning architecture.,"Technical Report CMU-CS-90-100,","School of Computer Science, Carnegie Mellon University,",,,,,,"Pittsburgh, PA.",,,,,,,(1990).,
202,"Fahlman, S. E., & Lebiere, C.",,Cascade-correlation learning architecture,Technical rep. CMU-CS-90-100).,"Carnegie Mellon University, Computer Science Department.",,,,,,"Pittsburgh, PA:",,,,,,,(1989).,
205,"Fahlman, S., and Lebiere, C.",,The cascade-correlation learning architecture.,"Technical Report CMU CS-90-100,","Carnegie Mellon University,",,,,,,Pittsburgh.,,,,,,,(1990).,
208,"Fahlman S. E., Lebiere C.,",,"The cascade-correlation learning architecture,","Technical Report CMU-CS-90-100,","Carnegie Mellon University,",,,,,,,,,,,,,1990.,
211,S. E. Fahlman and C. Lebiere.,,The cascade-correlation learning architecture.,"Technical Report CMU-CS-90-100,","Carnegie Mellon University,",,,,,,,,,,,,,1990.,
214,Scott E. Fahlman and Christian Lebiere.,,The Cascade-Correlation learning architecture.,"Technical Report CMU-CS-90-100,","Carnegie Mellon University, School of Computer Science,",,,,,,,,,,,,,February,
217,"Fahlman, S. E., and Lebiere, C.",,The Cascade-Correlation learning architecture.,"Tech. Rep. CMU-CS-90-100,","School of Computer Science, Carnegie Mellon University,",,,,,,"Pittsburgh, PA,",,,,,,,Feb.,
220,S.E. Fahlman and C. Lebiere.,,The cascade-correlation learning architecture.,"Technical Report CMU-CS-90-100,","Carnegie Mellon University,",,,,,,,,,,,,,1990.,
223,"Fahlman, S., Lebiere, C.:",,"The Cascade-Correlation Learning Architecture,","Technical Report CMU-CS-90-100,","Carnegie Mellon University,",,,,,,"Pittsburgh, PA,",,,,,,,August,
229,Scott E. Fahlman and Christian Lebiere.,,The cascade-correlation learning architecture.,"Technical Report CMU-CS-90-100,","School of Computer Science, Carnegie Mellon University,",,,,,,"Pittsburgh, PA 15213,",,,,,,,February,
232,"Fahlman, S. and Lebiere, C.",,The Cascade-Correlation Learning Architecture.,"CMU-CS-90-100,","School of Computer Science, Carnegie-Mellon University,",,,,,,"Pittsburgh, PA 15213.",,,,,,,(1990).,
238,S. E. Fahlman and C. Lebiere.,,The cascade-correlation learning architecture.,"Cmu-cs-90-100,","Carnegie Mellon University,",,,,,,,,,,,,,1990.,
241,Scott E. Fahlman and Christian Lebiere.,,The Cascade-Correlation learning architecture.,"Technical Report CMU-CS-90-100,","School of Computer Science, Carnegie Mellon University,",,,,,,"Pittsburgh, PA,",,,,,,,February,
249,"Fahlman, S. & Lebiere, C.",,The cascade-correlation learning architecture.,,,,"In Touretzky, D., editor,","Advances in Neural Information Processing Systems (volume 2),",Morgan Kaufmann.,,"San Mateo, CA.",,,,,"(pp. 524-532),",,(1989).,
252,"Fahlman, S. & Lebiere, C.",,The cascade-correlation learning architecture.,,,,"In Touretzky, D., editor,","Advances in Neural Information Processing Systems (volume 2),",Morgan Kaufmann.,,"San Mateo, CA.",,,,,"(pp. 524-532),",,(1989).,
255,"Fahlman, S. & Lebiere, C.",,The cascade-correlation learning architecture.,,,,"In Touretzky, D., editor,","Advances in Neural Information Processing Systems (volume 2),",Morgan Kaufmann.,,"San Mateo, CA.",,,,,"(pp. 524-532),",,(1989).,
258,"Fahlman, S. & Lebiere, C.",,The cascade-correlation learning architecture.,,,,"In Touretzky, D., editor,",Advances in Neural Information Processing Systems (volume 2).,"Morgan Kaufmann,",,"San Ma-teo, CA.",,,,,,,(1989).,
261,"Fahlman, S. E. & C.",,"Lebiere (1990), The Cascade-Correlation Learning Architecture,",,,,"D.S. Touretzky, ed.,","in Advances in Neural Information Processing Systems 2,","Morgan Kaufmann,",,"San Mateo,",,,,,pp. 524-532.,,,
270,"Fahlman, S. E. and Lebiere, C.",,The cascade-correlation learning architecture.,,,,"Touretzky, D. S. ed.","In Advances in Neural Information Processing Systems,",Morgan Kaufmann.,,,,,,"vol. 2,",pp. 524-532.,,(1990),
273,"Fahlman, S. E. and Lebiere, C.",,The cascade-correlation architecture.,,,,"In Touretzky, D. S., editor,",Advances in Neural Information Processing Structures,Morgan Kaufmann.,,,,,,"2,",pages 524 532.,,(1990).,
276,"Fahlman, S. E. and Lebiere, C.",,The cascade-correlation learning architecture.,,,,"In Touretzky (Ed.),",Advances in Neural Information Processing Systems,Morgan Kauffman.,,,,,,2.,,,(1990).,
279,"Fahlman, S. E., & Lebiere, C.",,The Cascade-Correlation Architecture.,,,,"Touretzky, D. S. (Ed).",In Advances in Neural Information Processing Systems,Morgan Kaufmann.,,"San Mateo, CA:",,,,Vol. 2.,,,(1990).,
282,"Fahlman, S. E., & Lebiere, C.",,The cascade-correlation learning architecture.,,,,D. S. Touretzky (Ed.),In Advances in Neural Information Processing Systems,Morgan Kaufmann.,,"San Mateo, CA:",,,,Vol. 2).,,,(1990).,
285,"Fahlman, S. E., & Lebiere, C.",,The cascade-correlation learning architecture.,,,,"In Touretzky, D. S. (Ed.),",Advances in Neural Information Processing Systems,"Morgan Kaufmann,",,"San Mateo, CA.",,,,"2,",pp. 524-532.,,(1990).,
288,"Fahlman, S. E., and Lebiere, C.",,The cascade-correlation learning architecture.,,,,"In Touretzky, D. S., editor,",Advances in Neural Information Processing Systems,Morgan Kaufmann.,,"San Mateo, CA:",,,,"2,",524-532.,,(1990).,
291,"Fahlman, S. E., and Lebiere, C.",,The cascade-correlation learning architecture.,,,,"In Touretzky, D. S., editor,",Advances in Neural Information Processing Systems,Morgan Kaufmann.,,"San Mateo, CA:",,,,"2,",524-532.,,(1990).,
294,"Fahlman, S. and Lebiere C.",,The Cascade Correlation Learning Architecture.,,,,,,,,,,,,,,,(1991).,
297,"Fahlman, S. and C. Lebiere.",,The Cascade-Correlation learning architecture.,,,,"In Touretzky, D. S., editor,","Advances in Neural Information Processing Systems: Proceedings of the 1989 Conference,","Morgan Kauffmann,",,,,,,,524-532.,,1990.,
300,"Fahlman, S., & Lebiere, C.",,The cascade-correlation learning architecture.,,,,,"In Advances in Neural Information Processing Systems,",Morgan Kaufmann.,,"524-532 San Mateo, CA.",,,,"Vol. 2,",pp.,,(1989).,
303,"Fahlman, S., & Lebiere, C.",,The cascade-correlation learning architecture.,,,,"In Touret-zky, D. (Ed.),","Advances in Neural Information Processing Systems,",Morgan Kaufmann.,,"San Mateo, CA.",,,,"Vol. 2,","pp. 524-532,",,(1989).,
306,"Fahlman, S., and Lebiere, C.",,The cascade-correlation learning architecture.,,,,,In Advances in Neural Information Processing Systems,,,"Denver, CO.",,,,"2,",524-532.,,(1989).,
309,"Fahlman, S.E. and Lebiere, C.",,The Cascade-Correlation Learning Architecture.,,,,,Advances in Neural Information Processing Systems,Morgan Kaufmann.,,,,,,"II,",pp. 524-532.,,(1990).,
312,S. E. Fahlman & C. Lebiere.,,The cascade-correlation learning architecture.,,,,"In D. S. Touretzky (ed.),",Advances in Neural Information Processing Systems,Morgan Kaufmann.,,"San Mateo, CA:",,,,"volume2,",524-532.,,(1990),
315,S. Fahlman and C. Lebiere.,,The cascade-correlation learning architecture.,,,,,In Adv. in Neural Info. Processing Systems,Morgan Kaufmann.,,"Denver, CO,",,,,volume2,"pages 524-532,",,1989.,
318,S. Fahlman and C. Lebiere.,,The Cascade-Correlation learning architecture.,,,,"In D. Touretzky, editor,",Advances in Neural Information Processing Systems,"Morgan Kaufmann,",,,,,,volume2.,,,1990.,
321,S.E. Fahlman and C. Lebiere.,,The cascade-correlation learning architecture. In D.S.,,,,"Touretzky, editor,","Advances in Neural Information Processing Systems,",Morgan Kaufmann.,,"San Mateo, 1990.",,,,"volume 2,","pages 524-532,",,,
333,S. E. Fahlman and C. Lebiere.,,The Cascade-Correlation learning architecture.,,,,"In D. S. Touretzky, editor,",Advances in Neural Information Processing Systems,"Morgan Kaufmann Publishers, Inc.,",,,,,,"2,",pages 524-532.,,1990.,
336,"Fahlmann, Scott, C. Lebiere.",,The Cascade-Correlation Learning Architechture.,,,,,in Advances in Neural Information Processing,Morgan Kaufmann Publishers:,,"Los Altos, CA.",,,,2 .,pp. 524-532.,,,
339,S.E. Fahlman and C. Lebiere.,,The cascade-correlation learning architecture.,,,,"In D.S. Touretzky, editor,","Advances in Neural Information Processing Systems,",Morgan Kaufmann.,,"San Mateo,",,,,"volume 2,","pages 524-532,",,1990.,
342,"Fahlman, S.E. and Lebiere C.",,The Cascade-Correlation Learning Architecture.,,,,"ed. D.S. Touretzky,","In Advances in Neural Information Processing Systems II (Denver 1989),",Morgan Kaufmann.,,San Mateo:,,,,,524-532.,,"(1990),",
345,"Fahlman, S. E. and Lebiere, C.",,The cascade-correlation learning architecture.,,,,"In Touretzky, D., editor,","Advances in Neural Information Processing Systems,","Morgan Kaufmann,",,"San Mateo, CA,",,,,"volume 2,",pages 524-532.,,1990.,
348,S. E. Fahlman and C. Lebiere,,"The Cascade-Correlation Learning Architecture,",,,,"Editors D. Touretzky, M.","in NIPS 2,","Kaufmann Publishers, Inc.,",,"Denver, Colorado,",,,,,pp. 524-532.,,"(1990),",
351,Scott E. Fahlman and Christian Lebiere.,,The Cascade-Correlation learning architecture.,,,,,"In [9],",,,,,,,,"pages 524-532,",,1990.,
357,S. E. Fahlman and C. Lebiere.,,The cascade-correlation learning architecture.,,,,"In D. Touretzky, editor,","Advances in Neural Information Processing Systems,","Morgan Kaufmann,",,,,,,"volume 2,",pages 524-532.,,1990.,
360,"Fahlman, S. E., and Lebiere, C.",,The Cascade-Correlation Learning Architecture.,,,,"(Ed) In Touretzky, D.",Advance in Neural Information Processing Systems,"Morgan Kaufmann Publishers,",,"San Mateo, CA:",,,,"Vol 2,","524-532,",,1990.,
363,S. E. Fahlman and C. Lebiere.,,The cascade-correlation architecture.,,,,"In D. S. Touretsky, editor,",Advances in Neural Information Processing Structures,"Morgan Kauf mann,",,"San Mateo, CA,",,,,"2,",pages 524532.,,1990.,
366,"S. Fahlmann, C. Lebiere,",,"The Cascade-Correlation Learning Architecture,",,,,,Advances in Neural Information Processing,Morgan Kaufmann Publishers:,,"Los Altos, CA.",,,,"2,","pp 524-532,",,,
369,S. Fahlman and C. Lebiere.,,The cascade correlation learning algorithm.,,,,"In D. Touretzky, editor,",Neural Information Systems,"Morgan-Kauffman,",,,,,,"2,",pages 524-532.,,1990.,
372,S.E. Fahlman and C. Lebiere.,,The cascade-correlation learning architecture.,,,,"In D. S. Touretzky, editor,",Advances in Neural Information Processing Systems,"Morgen Kaufmann,",,,,,,2.,,,1990.,
375,Scott E. Fahlman and Christian Lebiere.,,The Cascade-Correlation Learning Architecture.,,,,"Touretzky, Ed.",In Advances in Neural Information Processing Systems,"Morgan Kauffman,",,,,,,"2,",,,1990.,
378,Scott E. Fahlman and Christian Lebiere.,,The cascade-correlation learning architecture.,,,,,"In Advances in Neural Information Processing Systems II,","Morgan Kauf-man,",,,,,,,pages 524-532.,,1990.,
381,S. Fahlman and C. Lebiere.,,The cascade-correlation learning architecture.,,,,"In D. Touretzky, editor,","Advances in Neural Information Processing Systems,","IEEE, Morgan Kaufmann,",,"San Mateo, CA,",,,,,"pages 524-532,",,1990.,
387,"Fahlman, S. E. & Lebiere, C.",,The cascade-correlation learning architecture.,,,,"In Touretzky (Ed.),",Advances in Neural Information Processing Systems,Morgan Kauffman.,,,,,,2.,,,(1990).,
390,"Fahlman, S. E. and Lebiere, C.",,The Cascade Correlation Learning Architecture.,,,,"Touretzky, D. S. (ed).",In Neural Information Systems,"Morgan-Kauffman,",,,,,,2.,pp 524-532.,,(1990).,
393,"S. E. Fahlman and C. Lebiere,",,"The Cascade-Correlation Learning Architecture,",,,,"Editors D. Touretzky,",in Neural Information Processing Systems,"Morgan Kaufmann Publishers, Inc.,",,"Denver, Colorado,",,,,"2,",pp. 524-532.,,"1990,",
399,"Fahlman, S. E.",,The recurrent cascade-correlation architecture.,,,,"In Lippmann, R. P., Moody, J. E., and Touretzky, D. S., editors,",Advances in Neural Information Processing Systems,Morgan Kaufmann.,,"San Mateo, CA:",,,,"3,",190-205.,,(1991).,
402,"Fahlman, S. E.",,The recurrent cascade-correlation learning algorithm.,,,,"In Lippmann, R. P., Moody, J. E., and Touretzky, D. S., editors,",Advances in Neural Information Processing Systems,Morgan Kaufmann.,,"San Mateo, CA:",,,,"3,",pages 190-196.,,(1991).,
405,Scott E. Fahlman.,,The recurrent cascade-correlation architecture.,,,,"In R. P. Lipp-mann, J. E. Moody, and D. S. Touretzky, editors,",Advances in Neural Information Processing Systems,Morgan Kaufmann Publishers.,,"San Mateo, California,",,,,"3,","pages 190-196,",,1991.,
411,S. Fahlman.,,The recurrent cascade-correlation architecture.,,,,"In R. Lippmann, J. Moody, and D. Touretzky, editors,",Advances in Neural Information Processing Systems,"Morgan Kaufmann,",,"San Mateo, CA,",,,,"3,",pages 190 196.,,1991.,
426,"Fahln, L.E.; C.G.Brown; O.Stahl; C.Carlsson.",,A Space Based Model for User Interaction in Shared Synthetic Environments.,,,,,In Proceedings of InterCHI93 (Amsterdam).,"ACM, NY:",,,,,,,43-48.,,1993.,
432,"Hoehfeld, M. and Fahlman, S. E.",,Learning with limited numerical precision using the cascade-correlation algorithm.,"Preprint,","School of Computer Science, Carnegie-Mellon University,",,,,,,"Pittsburgh, PA,",,,,,,,1991.,
