id_1,id_2
rec-6737-org,rec-6737-dup-0
rec-6171-org,rec-6171-dup-0
rec-2217-org,rec-2217-dup-0
rec-7400-org,rec-7400-dup-0
rec-4357-org,rec-4357-dup-0
rec-1416-org,rec-1416-dup-0
rec-374-org,rec-374-dup-0
rec-4749-org,rec-4749-dup-0
rec-3857-org,rec-3857-dup-0
rec-752-org,rec-752-dup-0
rec-3489-org,rec-3489-dup-0
rec-8043-org,rec-8043-dup-0
rec-6513-org,rec-6513-dup-0
rec-8664-org,rec-8664-dup-0
rec-8571-org,rec-8571-dup-0
rec-4240-org,rec-4240-dup-0
rec-5307-org,rec-5307-dup-0
rec-8070-org,rec-8070-dup-0
rec-8337-org,rec-8337-dup-0
rec-2057-org,rec-2057-dup-0
rec-4539-org,rec-4539-dup-0
rec-4779-org,rec-4779-dup-0
rec-196-org,rec-196-dup-0
rec-5449-org,rec-5449-dup-0
rec-1950-org,rec-1950-dup-0
rec-4300-org,rec-4300-dup-0
rec-7824-org,rec-7824-dup-0
rec-860-org,rec-860-dup-0
rec-1016-org,rec-1016-dup-0
rec-2142-org,rec-2142-dup-0
rec-8511-org,rec-8511-dup-0
rec-3126-org,rec-3126-dup-0
rec-2669-org,rec-2669-dup-0
rec-6630-org,rec-6630-dup-0
rec-615-org,rec-615-dup-0
rec-3483-org,rec-3483-dup-0
rec-3781-org,rec-3781-dup-0
rec-2500-org,rec-2500-dup-0
rec-2675-org,rec-2675-dup-0
rec-2843-org,rec-2843-dup-0
rec-5696-org,rec-5696-dup-0
rec-234-org,rec-234-dup-0
rec-5202-org,rec-5202-dup-0
rec-2789-org,rec-2789-dup-0
rec-2053-org,rec-2053-dup-0
rec-8946-org,rec-8946-dup-0
rec-6367-org,rec-6367-dup-0
rec-6998-org,rec-6998-dup-0
rec-4055-org,rec-4055-dup-0
rec-828-org,rec-828-dup-0
rec-4834-org,rec-4834-dup-0
rec-3032-org,rec-3032-dup-0
rec-4451-org,rec-4451-dup-0
rec-7963-org,rec-7963-dup-0
rec-2411-org,rec-2411-dup-0
rec-201-org,rec-201-dup-0
rec-5685-org,rec-5685-dup-0
rec-1938-org,rec-1938-dup-0
rec-5644-org,rec-5644-dup-0
rec-8269-org,rec-8269-dup-0
rec-8847-org,rec-8847-dup-0
rec-1940-org,rec-1940-dup-0
rec-6632-org,rec-6632-dup-0
rec-5756-org,rec-5756-dup-0
rec-3899-org,rec-3899-dup-0
rec-1647-org,rec-1647-dup-0
rec-244-org,rec-244-dup-0
rec-3475-org,rec-3475-dup-0
rec-1995-org,rec-1995-dup-0
rec-1961-org,rec-1961-dup-0
rec-5326-org,rec-5326-dup-0
rec-8414-org,rec-8414-dup-0
rec-2928-org,rec-2928-dup-0
rec-5632-org,rec-5632-dup-0
rec-3656-org,rec-3656-dup-0
rec-5750-org,rec-5750-dup-0
rec-633-org,rec-633-dup-0
rec-5100-org,rec-5100-dup-0
rec-3697-org,rec-3697-dup-0
rec-3718-org,rec-3718-dup-0
rec-5941-org,rec-5941-dup-0
rec-25-org,rec-25-dup-0
rec-550-org,rec-550-dup-0
rec-898-org,rec-898-dup-0
rec-3845-org,rec-3845-dup-0
rec-5766-org,rec-5766-dup-0
rec-7740-org,rec-7740-dup-0
rec-4573-org,rec-4573-dup-0
rec-6767-org,rec-6767-dup-0
rec-1974-org,rec-1974-dup-0
rec-2750-org,rec-2750-dup-0
rec-7500-org,rec-7500-dup-0
rec-3366-org,rec-3366-dup-0
rec-4157-org,rec-4157-dup-0
rec-4005-org,rec-4005-dup-0
rec-4222-org,rec-4222-dup-0
rec-5908-org,rec-5908-dup-0
rec-6137-org,rec-6137-dup-0
rec-114-org,rec-114-dup-0
rec-7992-org,rec-7992-dup-0
rec-1353-org,rec-1353-dup-0
rec-8063-org,rec-8063-dup-0
rec-4520-org,rec-4520-dup-0
rec-8085-org,rec-8085-dup-0
rec-405-org,rec-405-dup-0
rec-189-org,rec-189-dup-0
rec-5439-org,rec-5439-dup-0
rec-3706-org,rec-3706-dup-0
rec-5376-org,rec-5376-dup-0
