id_1,id_2
rec-151-org,rec-151-dup-0
rec-8942-org,rec-8942-dup-0
rec-7661-org,rec-7661-dup-0
rec-5322-org,rec-5322-dup-0
rec-2664-org,rec-2664-dup-0
rec-1946-org,rec-1946-dup-0
rec-2614-org,rec-2614-dup-0
rec-8685-org,rec-8685-dup-0
rec-601-org,rec-601-dup-0
rec-7070-org,rec-7070-dup-0
rec-6682-org,rec-6682-dup-0
rec-7275-org,rec-7275-dup-0
rec-6130-org,rec-6130-dup-0
rec-7600-org,rec-7600-dup-0
rec-1653-org,rec-1653-dup-0
rec-902-org,rec-902-dup-0
rec-5967-org,rec-5967-dup-0
rec-1338-org,rec-1338-dup-0
rec-825-org,rec-825-dup-0
rec-3777-org,rec-3777-dup-0
rec-3031-org,rec-3031-dup-0
rec-5315-org,rec-5315-dup-0
rec-2302-org,rec-2302-dup-0
rec-5217-org,rec-5217-dup-0
rec-2343-org,rec-2343-dup-0
rec-530-org,rec-530-dup-0
rec-4967-org,rec-4967-dup-0
rec-1534-org,rec-1534-dup-0
rec-3387-org,rec-3387-dup-0
rec-1241-org,rec-1241-dup-0
rec-2054-org,rec-2054-dup-0
rec-2507-org,rec-2507-dup-0
rec-8433-org,rec-8433-dup-0
rec-3696-org,rec-3696-dup-0
rec-6166-org,rec-6166-dup-0
rec-4441-org,rec-4441-dup-0
rec-7732-org,rec-7732-dup-0
rec-8913-org,rec-8913-dup-0
rec-7901-org,rec-7901-dup-0
rec-5729-org,rec-5729-dup-0
rec-1681-org,rec-1681-dup-0
rec-4252-org,rec-4252-dup-0
rec-6020-org,rec-6020-dup-0
rec-8572-org,rec-8572-dup-0
rec-1197-org,rec-1197-dup-0
rec-4308-org,rec-4308-dup-0
rec-8045-org,rec-8045-dup-0
rec-6779-org,rec-6779-dup-0
rec-2434-org,rec-2434-dup-0
rec-890-org,rec-890-dup-0
rec-1100-org,rec-1100-dup-0
rec-3197-org,rec-3197-dup-0
rec-4630-org,rec-4630-dup-0
rec-2478-org,rec-2478-dup-0
rec-5528-org,rec-5528-dup-0
rec-6933-org,rec-6933-dup-0
rec-4696-org,rec-4696-dup-0
rec-7473-org,rec-7473-dup-0
rec-4206-org,rec-4206-dup-0
rec-8362-org,rec-8362-dup-0
rec-5886-org,rec-5886-dup-0
rec-1502-org,rec-1502-dup-0
rec-5780-org,rec-5780-dup-0
rec-8607-org,rec-8607-dup-0
rec-8631-org,rec-8631-dup-0
rec-3375-org,rec-3375-dup-0
rec-6908-org,rec-6908-dup-0
rec-5030-org,rec-5030-dup-0
rec-7200-org,rec-7200-dup-0
rec-8783-org,rec-8783-dup-0
rec-5393-org,rec-5393-dup-0
rec-1697-org,rec-1697-dup-0
rec-6441-org,rec-6441-dup-0
rec-5853-org,rec-5853-dup-0
rec-3342-org,rec-3342-dup-0
rec-5904-org,rec-5904-dup-0
rec-3311-org,rec-3311-dup-0
rec-3043-org,rec-3043-dup-0
rec-841-org,rec-841-dup-0
rec-4651-org,rec-4651-dup-0
