id,name,addr,city,phone,type,class
2,arnie morton's of chicago,435 s. la cienega blvd.,los angeles,310-246-1501,steakhouses,'0'
8,cafe bizou,14016 ventura blvd.,sherman oaks,818-788-3536,french bistro,'3'
14,citrus,6703 melrose ave.,los angeles,213-857-0034,californian,'6'
20,grill  the,9560 dayton way,beverly hills,310-276-0615,american (traditional),'9'
26,le chardonnay (los angeles),8284 melrose ave.,los angeles,213-655-8880,french bistro,'12'
32,palm  the (los angeles),9001 santa monica blvd.,w. hollywood,310-550-8811,steakhouses,'15'
38,pinot bistro,12969 ventura blvd.,studio city,818-990-0500,french bistro,'18'
44,valentino,3115 pico blvd.,santa monica,310-829-4313,italian,'21'
50,aquavit,13 w. 54th st.,new york city,212-307-7311,scandinavian,'24'
56,cafe des artistes,1 w. 67th st.,new york city,212-877-3500,french (classic),'27'
62,chanterelle,2 harrison st.,new york city,212-966-6960,french (new),'30'
68,felidia,243 e. 58th st.,new york city,212-758-1479,italian,'33'
74,gramercy tavern,42 e. 20th st.,new york city,212-477-0777,american (new),'36'
80,la caravelle,33 w. 55th st.,new york city,212-586-4252,french (classic),'39'
86,les celebrites,155 w. 58th st.,new york city,212-484-5113,french (classic),'42'
92,manhattan ocean club,57 w. 58th st.,new york city,212-371-7777,seafood,'45'
98,mi cocina,57 jane st.,new york city,212-627-8273,mexican,'48'
104,park avenue cafe (new york city),100 e. 63rd st.,new york city,212-644-1900,american (new),'51'
110,pisces,95 ave. a,new york city,212-260-6660,seafood,'54'
116,san domenico,240 central park s.,new york city,212-265-5959,italian,'57'
122,shun lee palace,155 e. 55th st.,new york city,212-371-8844,chinese,'60'
128,tavern on the green,central park west,new york city,212-873-3200,american (new),'63'
134,virgil's real bbq,152 w. 44th st.,new york city,212-921-9494,bbq,'66'
140,le montrachet bistro,3000 paradise rd.,las vegas,702-732-5651,french bistro,'69'
146,steak house  the,2880 las vegas blvd. s.,las vegas,702-734-0410,steakhouses,'72'
152,bacchanalia,3125 piedmont rd.,atlanta,404-365-0410,californian,'75'
158,buckhead diner,3073 piedmont rd.,atlanta,404-262-3336,american (new),'78'
164,georgia grille,2290 peachtree rd.,atlanta,404-352-3517,southwestern,'81'
170,indigo coastal grill,1397 n. highland ave.,atlanta,404-876-0676,eclectic,'84'
176,nikolai's roof,255 courtland st.,atlanta,404-221-6362,continental,'87'
182,ritz-carlton dining room (buckhead),3434 peachtree rd. ne,atlanta,404-237-2700,american (new),'90'
188,veni vidi vici,41 14th st.,atlanta,404-875-8424,italian,'93'
194,boulevard,1 mission st.,san francisco,415-543-6084,american (new),'96'
200,chez michel,804 north point st.,san francisco,415-775-7036,californian,'99'
206,hawthorne lane,22 hawthorne st.,san francisco,415-777-9779,californian,'102'
212,lulu restaurant-bis-cafe,816 folsom st.,san francisco,415-495-5775,mediterranean,'105'
218,plumpjack cafe,3127 fillmore st.,san francisco,415-563-4755,american (new),'108'
224,rose pistola,532 columbus ave.,san francisco,415-399-0499,italian,'111'
225,adriano's ristorante,2930 beverly glen circle,los angeles,310/475-9807,italian,'112'
231,ca'brea,346 s. la brea ave.,los angeles,213/938-2863,italian,'118'
237,cha cha cha,656 n. virgil ave.,los angeles,213/664-7723,caribbean,'124'
243,drai's,730 n. la cienega blvd.,los angeles,310/358-8585,french,'130'
249,gladstone's,4 fish 17300 pacific coast hwy. at sunset blvd.,pacific palisades,310/454-3474,american,'136'
255,jimmy's,201 moreno dr.,los angeles,310/552-2394,continental,'142'
261,morton's,8764 melrose ave.,los angeles,310/276-5205,american,'148'
267,paty's,10001 riverside dr.,toluca lake,818/761-9126,american,'154'
273,restaurant horikawa,111 s. san pedro st.,los angeles,213/680-9355,asian,'160'
279,the mandarin,430 n. camden dr.,los angeles,310/859-0926,asian,'166'
285,20 mott,20 mott st.  between bowery and pell st.,new york,212/964-0380,asian,'172'
291,alley's end,311 w. 17th st.,new york,212/627-8899,american,'178'
297,au mandarin,200-250 vesey st. world financial center,new york,212/385-0313,asian,'184'
303,boca chica,13 1st ave.  near 1st st.,new york,212/473-0108,latin american,'190'
309,bryant park grill  roof restaurant and bp cafe,25 w. 40th st.  between 5th and 6th aves.,new york,212/840-6500,american,'196'
315,cafe luxembourg,200 w. 70th st.,new york,212/873-7411,french,'202'
321,caffe lure,169 sullivan st.  between houston and bleecker sts.,new york,212/473-2642,french,'208'
327,captain's table,860 2nd ave. at 46th st.,new york,212/697-9538,seafood,'214'
333,cite,120 w. 51st st.,new york,212/956-7100,french,'220'
339,dean & deluca,121 prince st.,new york,212/254-8776,coffee bar,'226'
345,emily's,1325 5th ave. at 111th st.,new york,212/996-1212,american,'232'
351,ferrier,29 e. 65th st.,new york,212/772-9000,french,'238'
357,fishin eddie,73 w. 71st st.,new york,212/874-3474,seafood,'244'
363,french roast cafe,2340 broadway at 85th st.,new york,212/799-1533,coffee bar,'250'
369,girafe,208 e. 58th st.  between 2nd and 3rd aves.,new york,212/752-3054,italian,'256'
375,hi-life restaurant and lounge,1340 1st ave. at 72nd st.,new york,212/249-3600,american,'262'
381,inca grill,492 broome st.  near w. broadway,new york,212/966-3371,latin american,'268'
387,jimmy sung's,219 e. 44th st.  between 2nd and 3rd aves.,new york,212/682-5678,asian,'274'
393,l'udo,432 lafayette st.  near astor pl.,new york,212/388-0978,french,'280'
399,le colonial,149 e. 57th st.,new york,212/ 752-0808,asian,'286'
405,le select,507 columbus ave.  between 84th and 85th sts.,new york,212/875-1993,american,'292'
411,main street,446 columbus ave.  between 81st and 82nd sts.,new york,212/873-5025,american,'298'
417,match,160 mercer st.  between houston and prince sts.,new york,212/906-9173,american,'304'
423,morton's,551 5th ave. at 45th st.,new york,212/972-3315,american,'310'
429,orso,322 w. 46th st.,new york,212/489-7212,italian,'316'
435,parioli romanissimo,24 e. 81st st.,new york,212/288-2391,italian,'322'
441,planet hollywood,140 w. 57th st.,new york,212/333-7827,american,'328'
447,remi,145 w. 53rd st.,new york,212/581-4242,italian,'334'
453,sal anthony's,55 irving pl.,new york,212/982-9030,italian,'340'
459,serendipity,3 225 e. 60th st.,new york,212/838-3531,american,'346'
465,stage deli,834 7th ave.  between 53rd and 54th sts.,new york,212/245-7850,delicatessen,'352'
471,teresa's,103 1st ave.  between 6th and 7th sts.,new york,212/228-0604,east european,'358'
477,tribeca grill,375 greenwich st.  near franklin st.,new york,212/941-3900,american,'364'
483,verbena,54 irving pl. at 17th st.,new york,212/260-5454,american,'370'
489,xunta,174 1st ave.  between 10th and 11th sts.,new york,212/614-0620,mediterranean,'376'
495,anthonys,3109 piedmont rd.  just south of peachtree rd.,atlanta,404/262-7379,american,'382'
501,camille's,1186 n. highland ave.,atlanta,404/872-7203,italian,'388'
507,dante's down the hatch,underground underground mall  underground atlanta,atlanta,404/577-1800,continental,'394'
513,imperial fez,2285 peachtree rd.  peachtree battle condominium,atlanta,404/351-0870,mediterranean,'400'
519,mambo restaurante cubano,1402 n. highland ave.,atlanta,404/874-2626,caribbean,'406'
525,pricci,500 pharr rd.,atlanta,404/237-2941,italian,'412'
531,south of france,2345 cheshire bridge rd.,atlanta,404/325-6963,french,'418'
537,bally's big kitchen,3645 las vegas blvd. s,las vegas,702/739-4111,buffets,'424'
543,broiler,4111 boulder hwy.,las vegas,702/432-7777,american,'430'
549,center stage plaza hotel,1 main st.,las vegas,702/386-2512,american,'436'
555,lillie langtry's,129 e. fremont st.,las vegas,702/385-7111,asian,'442'
561,ralph's diner,3000 las vegas blvd. s,las vegas,702/732-6330,coffee shops/diners,'448'
567,acquarello,1722 sacramento st.,san francisco,415/567-5432,italian,'454'
573,buca giovanni,800 greenwich st.,san francisco,415/776-7766,italian,'460'
579,chevys,4th and howard sts.,san francisco,415/543-8060,mexican/latin american/spanish,'466'
585,gaylord's,ghirardelli sq.,san francisco,415/771-8822,asian,'472'
591,hayes street grill,320 hayes st.,san francisco,415/863-5545,seafood,'478'
597,izzy's steak & chop house,3345 steiner st.,san francisco,415/563-0487,steak houses,'484'
603,l'osteria del forno,519 columbus ave.,san francisco,415/982-1124,italian,'490'
609,mccormick & kuleto's,ghirardelli sq.,san francisco,415/929-1730,seafood,'496'
615,pacific pan pacific hotel,500 post st.,san francisco,415/929-2087,french,'502'
621,rubicon,558 sacramento st.,san francisco,415/434-4100,american,'508'
627,stars,150 redwood alley,san francisco,415/861-7827,american,'514'
633,the heights,3235 sacramento st.,san francisco,415/474-8890,french,'520'
639,world wrapps,2257 chestnut st.,san francisco,415/563-9727,american,'526'
645,zuni cafe & grill,1658 market st.,san francisco,415/552-2522,mediterranean,'532'
