id,name,addr,city,phone,type,class
4,art's deli,12224 ventura blvd.,studio city,818-762-1221,delis,'1'
10,campanile,624 s. la brea ave.,los angeles,213-938-1447,californian,'4'
16,fenix at the argyle,8358 sunset blvd.,w. hollywood,213-848-6677,french (new),'7'
22,katsu,1972 hillhurst ave.,los feliz,213-665-1891,japanese,'10'
28,locanda veneta,8638 w. third st.,los angeles,310-274-1893,italian,'13'
34,patina,5955 melrose ave.,los angeles,213-467-1108,californian,'16'
40,rex il ristorante,617 s. olive st.,los angeles,213-627-2300,nuova cucina italian,'19'
46,yujean kang's,67 n. raymond ave.,pasadena,818-585-0855,chinese,'22'
52,aureole,34 e. 61st st.,new york city,212-319-1660,american (new),'25'
58,carmine's,2450 broadway,new york city,212-362-2200,italian,'28'
64,daniel,20 e. 76th st.,new york city,212-288-0033,french (new),'31'
70,four seasons,99 e. 52nd st.,new york city,212-754-9494,american (new),'34'
76,island spice,402 w. 44th st.,new york city,212-765-1737,caribbean,'37'
82,la cote basque,60 w. 55th st.,new york city,212-688-6525,french (classic),'40'
88,lespinasse (new york city),2 e. 55th st.,new york city,212-339-6719,asian,'43'
94,march,405 e. 58th st.,new york city,212-754-6272,american (new),'46'
100,montrachet,239 w. broadway,new york city,212-219-2777,french bistro,'49'
106,petrossian,182 w. 58th st.,new york city,212-245-2214,russian,'52'
112,rainbow room,30 rockefeller plaza,new york city,212-632-5000,american (new),'55'
118,second avenue deli,156 second ave.,new york city,212-677-0606,delis,'58'
124,sign of the dove,1110 third ave.,new york city,212-861-8080,american (new),'61'
130,uncle nick's,747 ninth ave.,new york city,212-245-7992,greek,'64'
136,chin's,3200 las vegas blvd. s.,las vegas,702-733-8899,chinese,'67'
142,palace court,3570 las vegas blvd. s.,las vegas,702-731-7110,french (new),'70'
148,tillerman  the,2245 e. flamingo rd.,las vegas,702-731-4036,steakhouses,'73'
154,bone's restaurant,3130 piedmont rd. ne,atlanta,404-237-2663,steakhouses,'76'
160,ciboulette restaurant,1529 piedmont ave.,atlanta,404-874-7600,french (new),'79'
166,hedgerose heights inn  the,490 e. paces ferry rd. ne,atlanta,404-233-7673,continental,'82'
172,la grotta,2637 peachtree rd. ne,atlanta,404-231-1368,italian,'85'
178,pano's & paul's,1232 w. paces ferry rd.,atlanta,404-261-3662,american (new),'88'
184,ritz-carlton restaurant,181 peachtree st.,atlanta,404-659-0400,french (classic),'91'
190,alain rondelli,126 clement st.,san francisco,415-387-0408,french (new),'94'
196,cafe claude,7 claude ln.,san francisco,415-392-3505,french bistro,'97'
